Type,Name,Value
TXT,_amazonses.awesomecoder.dev,MKu0dZrRuvSdUvGaGo0sAci10CK7EHb05DIhX0849wU=
TXT,awesomecoder.dev,amazonses:MKu0dZrRuvSdUvGaGo0sAci10CK7EHb05DIhX0849wU=
